"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-11","2025","07","11","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-12","2025","07","12","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-13","2025","07","13","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-14","2025","07","14","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-15","2025","07","15","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-16","2025","07","16","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-17","2025","07","17","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-18","2025","07","18","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-19","2025","07","19","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-20","2025","07","20","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-21","2025","07","21","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-22","2025","07","22","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-23","2025","07","23","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-24","2025","07","24","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-25","2025","07","25","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-26","2025","07","26","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-27","2025","07","27","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-28","2025","07","28","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-29","2025","07","29","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-30","2025","07","30","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-07-31","2025","07","31","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-01","2025","08","01","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-02","2025","08","02","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-03","2025","08","03","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-04","2025","08","04","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-05","2025","08","05","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-06","2025","08","06","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-07","2025","08","07","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-08","2025","08","08","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-09","2025","08","09","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-10","2025","08","10","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-11","2025","08","11","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-12","2025","08","12","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-13","2025","08","13","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-14","2025","08","14","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-15","2025","08","15","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-16","2025","08","16","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-17","2025","08","17","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-18","2025","08","18","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-19","2025","08","19","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-20","2025","08","20","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-21","2025","08","21","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-22","2025","08","22","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-23","2025","08","23","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-24","2025","08","24","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-25","2025","08","25","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-26","2025","08","26","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-27","2025","08","27","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-28","2025","08","28","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-29","2025","08","29","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-30","2025","08","30","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-08-31","2025","08","31","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-01","2025","09","01","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-02","2025","09","02","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-03","2025","09","03","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-04","2025","09","04","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-05","2025","09","05","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-06","2025","09","06","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-07","2025","09","07","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-08","2025","09","08","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-09","2025","09","09","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-10","2025","09","10","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-11","2025","09","11","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-12","2025","09","12","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-13","2025","09","13","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-14","2025","09","14","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-15","2025","09","15","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-16","2025","09","16","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-17","2025","09","17","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-18","2025","09","18","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-19","2025","09","19","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-20","2025","09","20","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-21","2025","09","21","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-22","2025","09","22","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-23","2025","09","23","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-24","2025","09","24","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-25","2025","09","25","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-26","2025","09","26","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-27","2025","09","27","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-28","2025","09","28","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-29","2025","09","29","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-09-30","2025","09","30","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-01","2025","10","01","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-02","2025","10","02","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-03","2025","10","03","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-04","2025","10","04","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-05","2025","10","05","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-06","2025","10","06","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-07","2025","10","07","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-08","2025","10","08","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-09","2025","10","09","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-10","2025","10","10","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-11","2025","10","11","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-12","2025","10","12","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-13","2025","10","13","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-14","2025","10","14","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-15","2025","10","15","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-16","2025","10","16","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-17","2025","10","17","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-18","2025","10","18","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-19","2025","10","19","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-20","2025","10","20","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-21","2025","10","21","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-22","2025","10","22","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-23","2025","10","23","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-24","2025","10","24","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-25","2025","10","25","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-26","2025","10","26","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-27","2025","10","27","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-28","2025","10","28","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-29","2025","10","29","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-30","2025","10","30","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-10-31","2025","10","31","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-01","2025","11","01","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-02","2025","11","02","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-03","2025","11","03","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-04","2025","11","04","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-05","2025","11","05","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-06","2025","11","06","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-07","2025","11","07","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-08","2025","11","08","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-09","2025","11","09","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-10","2025","11","10","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-11","2025","11","11","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-12","2025","11","12","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-13","2025","11","13","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-14","2025","11","14","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-15","2025","11","15","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-16","2025","11","16","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-17","2025","11","17","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-18","2025","11","18","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-19","2025","11","19","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-20","2025","11","20","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-21","2025","11","21","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-22","2025","11","22","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-23","2025","11","23","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-24","2025","11","24","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-25","2025","11","25","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-26","2025","11","26","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-27","2025","11","27","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-28","2025","11","28","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-29","2025","11","29","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-11-30","2025","11","30","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-01","2025","12","01","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-02","2025","12","02","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-03","2025","12","03","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-04","2025","12","04","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-05","2025","12","05","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-06","2025","12","06","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-07","2025","12","07","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-08","2025","12","08","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-09","2025","12","09","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-10","2025","12","10","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-11","2025","12","11","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-12","2025","12","12","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-13","2025","12","13","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-14","2025","12","14","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-15","2025","12","15","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-16","2025","12","16","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-17","2025","12","17","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-18","2025","12","18","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-19","2025","12","19","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-20","2025","12","20","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-21","2025","12","21","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-22","2025","12","22","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-23","2025","12","23","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-24","2025","12","24","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-25","2025","12","25","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-26","2025","12","26","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-27","2025","12","27","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-28","2025","12","28","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-29","2025","12","29","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-30","2025","12","30","","","","","","","","","","","","","","","","","","","","","","",""
"-112.13","50.05","VAUXHALL CDA CS","3036682","2025-12-31","2025","12","31","","","","","","","","","","","","","","","","","","","","","","",""
